时间,震级,地点,前半段深度TSE,后半段深度TSE,深度变化,前半段震级TSE,后半段震级TSE,震级变化,前震数量
2016-12-25 14:22:27.010000,7.6,"41 km SW of Quellón, Chile",1.5000,1.4830,0.0170,1.5000,1.4981,0.0019,11
2016-12-17 10:51:10.500000,7.9,"140 km E of Kokopo, Papua New Guinea",1.4892,1.4925,-0.0033,1.4892,1.5000,-0.0108,11
2016-12-08 17:38:46.280000,7.8,"69 km WSW of Kirakira, Solomon Islands",1.4892,1.4925,-0.0033,1.4892,1.4830,0.0061,11
2016-11-13 11:02:56.340000,7.8,"53 km NNE of Amberley, New Zealand",1.4830,1.4527,0.0304,1.4830,1.4981,-0.0151,12
2016-09-01 16:37:57.300000,7.0,"175 km NE of Gisborne, New Zealand",1.4973,1.4925,0.0048,1.4317,1.4527,-0.0210,11
2016-08-29 04:29:57.860000,7.1,north of Ascension Island,1.4564,1.4973,-0.0409,1.4892,1.4892,0.0000,10
2016-08-19 07:32:22.710000,7.4,South Georgia Island region,1.4973,1.5000,-0.0027,1.4011,1.4830,-0.0819,11
2016-08-12 01:26:36.280000,7.2,southeast of the Loyalty Islands,1.5000,1.5000,0.0000,1.4973,1.4066,0.0907,11
2016-07-29 21:18:24.740000,7.7,"Pagan region, Northern Mariana Islands",1.4958,1.4756,0.0202,1.4958,1.5000,-0.0042,9
2016-05-28 09:46:59.780000,7.2,South Sandwich Islands region,1.4527,1.4986,-0.0459,1.5000,1.4499,0.0501,13
2016-04-28 19:33:24.070000,7.0,"3 km NW of Norsup, Vanuatu",1.4981,1.4830,0.0151,1.4830,1.4925,-0.0094,12
2016-04-16 23:58:36.980000,7.8,"27 km SSE of Muisne, Ecuador",1.4830,1.4981,-0.0151,1.4698,1.4830,-0.0132,12
2016-04-15 16:25:06.220000,7.0,"6 km ESE of Kumamoto, Japan",1.4698,1.4925,-0.0227,1.4698,1.4925,-0.0227,12
2016-03-02 12:49:48.110000,7.8,"southwest of Sumatra, Indonesia",1.4892,1.4925,-0.0033,1.4564,1.4830,-0.0266,11
2016-01-30 03:25:12.220000,7.2,"80 km S of Mil’kovo, Russia",1.4892,1.4756,0.0136,1.4973,1.4973,0.0000,10
2016-01-24 10:30:29.557000,7.1,"47 km ESE of Pedro Bay, Alaska",1.5000,1.5000,0.0000,1.4653,1.4986,-0.0333,14
2015-12-07 07:50:05.950000,7.2,"104 km W of Murghob, Tajikistan",1.4756,1.4981,-0.0226,1.4892,1.4698,0.0194,11
2015-12-04 22:25:00.110000,7.1,southeast Indian Ridge,1.4830,1.4981,-0.0151,1.5000,1.4698,0.0302,12
2015-11-24 22:50:54.370000,7.6,"185 km WNW of Iñapari, Peru",1.5000,1.4830,0.0170,1.4973,1.5000,-0.0027,11
2015-11-24 22:45:38.880000,7.6,"155 km WNW of Iñapari, Peru",1.4981,1.4986,-0.0005,1.4066,1.5000,-0.0934,13
2015-10-26 09:09:42.560000,7.5,"Hindu Kush region, Afghanistan",1.5000,1.5000,0.0000,1.4892,1.4973,-0.0081,10
2015-10-20 21:52:02.560000,7.1,"31 km NE of Port-Olry, Vanuatu",1.5000,1.4925,0.0075,1.4973,1.4317,0.0656,11
2015-09-16 23:18:41.850000,7.0,"25 km WNW of Illapel, Chile",1.4892,1.4981,-0.0090,1.4317,1.4317,0.0000,11
2015-09-16 22:54:32.860000,8.3,"48 km W of Illapel, Chile",1.4973,1.4892,0.0081,1.5000,1.4892,0.0108,10
2015-07-27 21:41:21.710000,7.0,"234 km W of Abepura, Indonesia",1.4830,1.4527,0.0304,1.4981,1.4981,0.0000,12
2015-07-18 02:27:33.820000,7.0,"80 km WNW of Lata, Solomon Islands",1.4830,1.4698,0.0132,1.4981,1.4830,0.0151,12
2015-06-17 12:51:32.790000,7.0,southern Mid-Atlantic Ridge,1.4973,1.4925,0.0048,1.4973,1.4698,0.0275,11
2015-05-30 11:23:02.110000,7.8,"Bonin Islands, Japan region",1.4981,1.4876,0.0106,1.4981,1.4945,0.0036,13
2015-05-12 07:05:19.730000,7.3,Nepal,1.4830,1.5000,-0.0170,1.4958,1.4756,0.0202,9
2015-05-07 07:10:19.590000,7.1,"143 km SW of Panguna, Papua New Guinea",1.4973,1.4981,-0.0008,1.5000,1.5000,0.0000,11
2015-05-05 01:44:06.380000,7.5,"131 km SSW of Kokopo, Papua New Guinea",1.4981,1.4830,0.0151,1.5000,1.4925,0.0075,12
2015-04-25 06:11:25.950000,7.8,"67 km NNE of Bharatpur, Nepal",1.4981,1.5000,-0.0019,1.4981,1.4986,-0.0005,13
2015-03-29 23:48:31.010000,7.5,"53 km SE of Kokopo, Papua New Guinea",1.4527,1.4925,-0.0398,1.4925,1.4527,0.0398,12
2015-02-27 13:45:05.370000,7.0,"150 km NNE of Maumere, Indonesia",1.4756,1.4973,-0.0217,1.4973,1.4892,0.0081,10
2015-02-13 18:59:12.230000,7.1,northern Mid-Atlantic Ridge,1.4958,1.4564,0.0393,1.4830,1.4892,-0.0061,9
2014-11-15 02:31:41.720000,7.1,"155 km NW of Ternate, Indonesia",1.4830,1.5000,-0.0170,1.4958,1.4830,0.0127,8
2014-11-01 18:57:22.380000,7.1,Fiji region,1.4925,1.4925,0.0000,1.5000,1.4698,0.0302,12
2014-10-14 03:51:34.460000,7.3,"74 km S of Intipucá, El Salvador",1.4986,1.4499,0.0487,1.4986,1.4945,0.0041,14
2014-10-09 02:14:31.440000,7.0,southern East Pacific Rise,1.4925,1.5000,-0.0075,1.4830,1.4698,0.0132,12
2014-06-23 20:53:09.700000,7.9,"Rat Islands, Aleutian Islands, Alaska",1.4925,1.4698,0.0227,1.4925,1.4981,-0.0056,12
2014-04-19 13:28:00.810000,7.5,"70 km SW of Panguna, Papua New Guinea",1.4756,1.4981,-0.0226,1.4973,1.4527,0.0446,11
2014-04-18 14:27:24.920000,7.2,"9 km ENE of Coyuquilla Norte, Mexico",1.4981,1.4945,0.0036,1.4925,1.4986,-0.0061,13
2014-04-13 12:36:19.230000,7.4,"112 km S of Kirakira, Solomon Islands",1.4925,1.4698,0.0227,1.5000,1.5000,0.0000,12
2014-04-12 20:14:39.300000,7.6,"93 km SSE of Kirakira, Solomon Islands",1.5000,1.5000,0.0000,1.4892,1.5000,-0.0108,11
2014-04-11 07:07:23.130000,7.1,"56 km WSW of Panguna, Papua New Guinea",1.4958,1.4973,-0.0015,1.4958,1.4564,0.0393,9
2014-04-03 02:43:13.110000,7.7,"53 km SW of Iquique, Chile",1.5000,1.4973,0.0027,1.4756,1.5000,-0.0244,10
2014-04-01 23:46:47.260000,8.2,"93 km NW of Iquique, Chile",1.4986,1.4945,0.0041,1.4986,1.4945,0.0041,14
2013-11-25 06:27:33.300000,7.0,Falkland Islands region,1.4830,1.4973,-0.0142,1.4958,1.5000,-0.0042,9
2013-11-17 09:04:55.530000,7.7,Scotia Sea,1.4756,1.4973,-0.0217,1.4973,1.4973,0.0000,10
