区域,数据量,前震正向TSE,前震反向TSE,前震ΔTSE,前震方向性,主震正向TSE,主震反向TSE,主震ΔTSE,主震方向性,余震正向TSE,余震反向TSE,余震ΔTSE,余震方向性
日本本州,9026,5.5134,5.5136,0.0002,否,5.7646,5.7646,0.0000,否,5.7180,5.7181,0.0001,否
智利中部,5209,5.7683,5.7682,0.0002,否,5.6704,5.6703,0.0001,否,5.6699,5.6699,0.0000,否
印尼苏门答腊,7796,5.1314,5.1316,0.0001,否,5.2993,5.2995,0.0002,否,5.2975,5.2971,0.0004,否
中国西南,1605,4.7242,4.7217,0.0026,否,4.6679,4.6682,0.0003,否,5.8010,5.8010,0.0001,否
新西兰,1204,5.0834,5.0866,0.0032,否,4.9827,4.9845,0.0018,否,5.6289,5.6293,0.0004,否
全球最近1年,17438,5.2301,5.2301,0.0001,否,5.1533,5.1534,0.0001,否,5.3187,5.3188,0.0002,否
