区域,数据量,前震正向TSE,前震反向TSE,前震ΔTSE,前震方向性,主震正向TSE,主震反向TSE,主震ΔTSE,主震方向性,余震正向TSE,余震反向TSE,余震ΔTSE,余震方向性
日本本州,9026,1.4030,1.4030,0.0000,否,1.4634,1.4634,0.0000,否,1.4452,1.4452,0.0000,否
智利中部,5209,1.4963,1.4963,0.0000,否,1.4264,1.4264,0.0000,否,1.4280,1.4280,0.0000,否
印尼苏门答腊,7796,1.3717,1.3717,0.0000,否,1.3695,1.3695,0.0000,否,1.3350,1.3350,0.0000,否
中国西南,1605,1.2854,1.2854,0.0000,否,1.2723,1.2723,0.0000,否,1.4990,1.4990,0.0000,否
新西兰,1204,1.3246,1.3246,0.0000,否,1.2607,1.2607,0.0000,否,1.4126,1.4126,0.0000,否
全球最近1年,17438,1.3650,1.3650,0.0000,否,1.3483,1.3483,0.0000,否,1.3699,1.3699,0.0000,否
