time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2012-04-11T10:40:20.150Z,1.044,92.037,10,4.3,mb,17,189.8,,0.63,us,usp000jhja,2014-11-07T01:47:28.134Z,"off the west coast of northern Sumatra",earthquake,,,,2,reviewed,us,us
2012-04-11T10:36:54.280Z,1.167,91.87,10,5.4,mb,124,74.5,,0.97,us,usp000jhj9,2014-11-07T01:47:28.125Z,"North Indian Ocean",earthquake,,,,44,reviewed,us,us
2012-04-11T10:34:26.920Z,1.627,91.786,10,4.9,mb,46,114.7,,0.9,us,usp000jhj8,2014-11-07T01:47:28.121Z,"North Indian Ocean",earthquake,,,,10,reviewed,us,us
2012-04-11T10:32:55.040Z,2.501,90.201,10,4.6,mb,47,108.8,,0.8,us,usp000jhj7,2014-11-07T01:47:28.102Z,"off the west coast of northern Sumatra",earthquake,,,,7,reviewed,us,us
2012-04-11T10:31:59.970Z,2.094,92.034,10,4,mb,16,183.2,,1.11,us,usp000jhj6,2014-11-07T01:47:28.100Z,"off the west coast of northern Sumatra",earthquake,,,,2,reviewed,us,us
2012-04-11T10:29:06.240Z,1.793,90.969,10,4.5,mb,20,168.8,,0.83,us,usp000jhj5,2014-11-07T01:47:28.098Z,"North Indian Ocean",earthquake,,,,4,reviewed,us,us
2012-04-11T10:27:33.900Z,1.729,89.948,10,4.2,mb,17,190.8,,0.91,us,usp000jhj4,2014-11-07T01:47:28.096Z,"North Indian Ocean",earthquake,,,,1,reviewed,us,us
2012-04-11T10:25:02.270Z,0.564,91.882,10,4.9,mb,65,62.1,,0.75,us,usp000jhj3,2014-11-07T01:47:28.091Z,"North Indian Ocean",earthquake,,,,12,reviewed,us,us
2012-04-11T10:21:15.380Z,2.822,92.482,13.9,5.3,mb,220,33.8,,0.85,us,usp000jhj2,2014-11-07T01:47:28.076Z,"off the west coast of northern Sumatra",earthquake,,9.1,,58,reviewed,us,us
2012-04-11T10:17:37.620Z,2.063,92.516,10,4.4,mb,19,114,,1.04,us,usp000jhj1,2014-11-07T01:47:28.074Z,"off the west coast of northern Sumatra",earthquake,,,,2,reviewed,us,us
2012-04-11T10:12:06.980Z,1.142,91.902,10,4.9,mb,32,119.8,,0.74,us,usp000jhj0,2014-11-07T01:47:28.071Z,"North Indian Ocean",earthquake,,,,4,reviewed,us,us
2012-04-11T10:10:04.030Z,2.668,92.726,10,5,mb,45,108.1,,0.79,us,usp000jhhz,2014-11-07T01:47:28.068Z,"off the west coast of northern Sumatra",earthquake,,,,11,reviewed,us,us
