time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-03-28T15:20:55.990Z,2.029,97.203,30,3.9,mb,6,218.1,,0.28,us,usp000dk82,2014-11-07T01:25:20.044Z,"71 km WSW of Singkil, Indonesia",earthquake,,,,1,reviewed,us,us
2005-03-27T20:15:46.820Z,1.481,99.591,177.3,3.9,mb,19,119.2,,0.61,us,usp000dk6d,2014-11-07T01:25:19.866Z,"37 km ENE of Padangsidempuan, Indonesia",earthquake,,57.6,,4,reviewed,us,us
2005-03-27T06:09:26.090Z,4.798,95.026,30,4.8,mb,110,71.5,,0.75,us,usp000dk56,2014-11-07T01:25:19.748Z,"89 km SSW of Banda Aceh, Indonesia",earthquake,,,,48,reviewed,us,us
2005-03-25T22:28:51.100Z,4.716,97.616,30,4.2,mb,7,206.8,,1.25,us,usp000dk28,2014-11-07T01:25:19.400Z,"47 km NW of Langsa, Indonesia",earthquake,,,,2,reviewed,us,us
2005-03-25T21:58:05.860Z,3.022,95.652,36,4.6,mb,42,119.5,,0.78,us,usp000dk27,2014-11-07T01:25:19.397Z,"100 km NW of Sinabang, Indonesia",earthquake,,14.5,,17,reviewed,us,us
2005-03-22T10:03:54.130Z,4.789,94.775,30,4.4,mb,17,176.1,,0.78,us,usp000djt3,2014-11-07T01:25:17.751Z,"103 km SW of Banda Aceh, Indonesia",earthquake,,,,5,reviewed,us,us
2005-03-22T01:36:52.170Z,2.568,95.508,25,4.2,mb,11,210.5,,1.04,us,usp000djs3,2014-11-07T01:25:17.640Z,"97 km W of Sinabang, Indonesia",earthquake,,,,6,reviewed,us,us
2005-03-21T17:51:18.320Z,2.554,95.978,30,4.6,mb,19,186.5,,0.74,us,usp000djr0,2014-11-07T01:25:17.533Z,"45 km W of Sinabang, Indonesia",earthquake,,,,8,reviewed,us,us
2005-03-21T08:46:46.290Z,3.614,95.389,39.9,4.3,mb,12,202.2,,0.6,us,usp000djq2,2014-11-07T01:25:17.229Z,"100 km SW of Meulaboh, Indonesia",earthquake,,,,2,reviewed,us,us
2005-03-20T21:32:07.190Z,1.509,97.764,30,4.3,mb,26,94.5,,0.78,us,usp000djng,2014-11-07T01:25:17.098Z,"86 km S of Singkil, Indonesia",earthquake,,,,7,reviewed,us,us
2005-03-20T16:35:43.370Z,4.634,94.741,30,4.6,mb,20,133.2,,1.13,us,usp000djmz,2014-11-07T01:25:16.940Z,"119 km SSW of Banda Aceh, Indonesia",earthquake,,,,4,reviewed,us,us
2005-03-20T04:51:27.420Z,2.677,95.708,30,4.3,mb,14,205.3,,0.44,us,usp000djm2,2014-11-07T01:25:16.790Z,"77 km WNW of Sinabang, Indonesia",earthquake,,,,3,reviewed,us,us
2005-03-19T03:01:16.950Z,3.999,95.67,48,5.1,mwc,229,33.8,,0.76,us,usp000djh3,2022-05-02T17:50:32.112Z,"53 km WSW of Meulaboh, Indonesia",earthquake,,,,,reviewed,us,hrv
2005-03-17T23:20:49.350Z,4.863,95.089,60.4,5.7,mwb,417,60.7,,0.74,us,usp000dje1,2022-07-14T17:15:46.050Z,"79 km SSW of Banda Aceh, Indonesia",earthquake,,6.9,,,reviewed,us,us
