time,mag,lat,lon,depth,place
2015-09-16 23:18,7.0,-31.5622,-71.4262,28.41,"25 km WNW of Illapel, Chile"
2015-09-16 22:54,8.3,-31.5729,-71.6744,22.44,"48 km W of Illapel, Chile"
2015-07-27 21:41,7.0,-2.6286,138.5277,48.0,"234 km W of Abepura, Indonesia"
2015-07-18 02:27,7.0,-10.4012,165.1409,11.0,"80 km WNW of Lata, Solomon Islands"
2015-06-17 12:51,7.0,-35.3639,-17.1605,10.0,southern Mid-Atlantic Ridge
2015-05-30 11:23,7.8,27.8386,140.4931,664.0,"Bonin Islands, Japan region"
2015-05-12 07:05,7.3,27.8087,86.0655,15.0,Nepal
2015-05-07 07:10,7.1,-7.2175,154.5567,10.0,"143 km SW of Panguna, Papua New Guinea"
2015-05-05 01:44,7.5,-5.4624,151.8751,55.0,"131 km SSW of Kokopo, Papua New Guinea"
2015-04-25 06:11,7.8,28.2305,84.7314,8.22,"67 km NNE of Bharatpur, Nepal"
2015-03-29 23:48,7.5,-4.7294,152.5623,41.0,"53 km SE of Kokopo, Papua New Guinea"
2015-02-27 13:45,7.0,-7.2968,122.5348,552.06,"150 km NNE of Maumere, Indonesia"
2015-02-13 18:59,7.1,52.6487,-31.9016,16.68,northern Mid-Atlantic Ridge
2014-11-15 02:31,7.1,1.8929,126.5217,45.0,"155 km NW of Ternate, Indonesia"
2014-11-01 18:57,7.1,-19.6903,-177.7587,434.0,Fiji region
2014-10-14 03:51,7.3,12.5262,-88.1225,40.0,"74 km S of Intipucá, El Salvador"
2014-10-09 02:14,7.0,-32.1082,-110.8112,16.54,southern East Pacific Rise
2014-06-23 20:53,7.9,51.8486,178.7352,109.0,"Rat Islands, Aleutian Islands, Alaska"
2014-04-19 13:28,7.5,-6.7547,155.0241,43.37,"70 km SW of Panguna, Papua New Guinea"
2014-04-18 14:27,7.2,17.397,-100.9723,24.0,"9 km ENE of Coyuquilla Norte, Mexico"
2014-04-13 12:36,7.4,-11.4633,162.0511,39.0,"112 km S of Kirakira, Solomon Islands"
2014-04-12 20:14,7.6,-11.2701,162.1481,22.56,"93 km SSE of Kirakira, Solomon Islands"
2014-04-11 07:07,7.1,-6.5858,155.0485,60.53,"56 km WSW of Panguna, Papua New Guinea"
2014-04-03 02:43,7.7,-20.5709,-70.4931,22.4,"53 km SW of Iquique, Chile"
2014-04-01 23:46,8.2,-19.6097,-70.7691,25.0,"93 km NW of Iquique, Chile"
2013-11-25 06:27,7.0,-53.9451,-55.0033,11.78,Falkland Islands region
