time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-09-26T22:20:58.030Z,-15.868,-174.188,135.1,4.4,mb,17,66.6,,0.53,us,usp000h1wd,2014-11-07T01:39:45.112Z,"43 km WNW of Hihifo, Tonga",earthquake,,9.6,,1,reviewed,us,us
2009-09-16T14:16:09.250Z,-15.446,-173.107,10,4.7,mb,38,60.6,,1.43,us,usp000h1js,2014-11-07T01:39:42.608Z,"92 km NE of Hihifo, Tonga",earthquake,,0,,10,reviewed,us,us
2009-09-11T02:09:29.680Z,-15.078,-173.645,10,4.4,mb,12,128.2,,0.81,us,usp000h1dq,2014-11-07T01:39:41.782Z,"98 km N of Hihifo, Tonga",earthquake,,,,3,reviewed,us,us
2009-08-30T14:51:32.890Z,-15.223,-172.571,11,6.6,mwc,431,20.9,,1.04,us,usp000h121,2022-07-15T16:52:29.826Z,"154 km ENE of Hihifo, Tonga",earthquake,,,,,reviewed,us,us
