time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-03T11:05:09.361Z,37.2003,36.4998,10,4.2,mb,39,137,0.568,0.64,us,us6000jl5l,2023-04-13T21:53:21.040Z,"6 km W of Bahçe, Turkey",earthquake,4.01,1.924,0.132,16,reviewed,us,us
2023-01-18T13:30:47.860Z,36.9911,36.1694,10,4.1,mb,15,105,0.851,0.98,us,us6000jjfc,2023-03-31T19:43:30.040Z,"4 km NNW of Erzin, Turkey",earthquake,3.32,1.949,0.371,2,reviewed,us,us
