time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-18T21:44:03.020Z,-21.08,-178.9181,618.41,4.6,mb,,128,4.379,0.72,us,us1000gcgr,2018-10-27T16:22:06.040Z,"Fiji region",earthquake,13,7.6,0.093,34,reviewed,us,us
2018-08-18T19:04:00.210Z,-17.8477,-178.6176,582.02,4.2,mb,,190,3.173,0.32,us,us1000ggrt,2018-10-27T16:22:09.040Z,"220 km E of Levuka, Fiji",earthquake,20.4,9.7,0.128,17,reviewed,us,us
2018-08-18T17:12:08.650Z,-19.8667,-177.6523,575.5,4.2,mb,,95,4.583,0.97,us,us1000ggrp,2018-10-27T16:22:09.040Z,"291 km WNW of Haveluloto, Tonga",earthquake,15.4,12.6,0.132,16,reviewed,us,us
2018-08-18T05:38:13.890Z,-19.2938,-177.3065,590.19,4.4,mb,,72,4.664,0.47,us,us1000ggra,2018-10-27T16:22:08.040Z,"Fiji region",earthquake,15.4,12.2,0.123,19,reviewed,us,us
2018-08-17T10:48:13.600Z,-20.6417,-178.0278,520.5,4.1,mb,,136,4.692,0.8,us,us1000gg2s,2018-10-27T16:22:08.040Z,"298 km WNW of Haveluloto, Tonga",earthquake,14.7,8.8,0.081,42,reviewed,us,us
2018-08-17T09:01:54.460Z,-16.0054,-177.7988,10,4.5,mb,,67,4.332,0.78,us,us1000gg2q,2018-10-27T16:22:08.040Z,"190 km S of Alo, Wallis and Futuna",earthquake,6.6,1.8,0.073,54,reviewed,us,us
2018-08-16T05:30:55.200Z,-19.2491,-177.4308,557.85,4.3,mb,,126,7.586,0.64,us,us1000geng,2018-10-27T16:22:08.040Z,"Fiji region",earthquake,15.6,9.6,0.102,27,reviewed,us,us
2018-08-15T21:38:05.440Z,-17.9556,-178.1899,563.88,4.5,mb,,102,3.584,0.77,us,us1000ga0r,2018-10-27T16:22:03.040Z,"264 km E of Levuka, Fiji",earthquake,13.6,7.3,0.085,40,reviewed,us,us
2018-08-14T14:38:44.420Z,-20.0621,-175.7747,187.7,4.9,mb,,102,5.6,0.69,us,us1000gbkv,2018-10-27T16:22:05.040Z,"133 km NNW of Nuku‘alofa, Tonga",earthquake,15.8,13.6,0.119,22,reviewed,us,us
2018-08-14T01:43:51.390Z,-21.0557,-177.6112,409.57,4.5,mb,,102,5.252,0.83,us,us1000gbk6,2018-10-27T16:22:04.040Z,"249 km W of Haveluloto, Tonga",earthquake,10.5,8.5,0.135,16,reviewed,us,us
2018-08-14T01:31:19.850Z,-20.3872,-178.2494,543.03,4.5,mb,,91,4.374,0.91,us,us1000gbk4,2018-10-27T16:22:04.040Z,"Fiji region",earthquake,13.1,7.6,0.086,39,reviewed,us,us
2018-08-12T03:41:44.310Z,-19.7893,-177.9045,598.55,4.3,mb,,166,4.336,1.28,us,us1000gbby,2018-10-17T18:11:45.040Z,"Fiji region",earthquake,9,8.5,0.108,24,reviewed,us,us
2018-08-11T09:45:47.450Z,-20.4564,-176.2065,177.82,5,mb,,27,6.07,0.53,us,us1000g6v2,2025-12-22T17:47:27.729Z,"128 km NW of Haveluloto, Tonga",earthquake,9.3,5.7,0.026,473,reviewed,us,us
2018-08-10T00:29:32.700Z,-17.6123,-178.726,543.58,4.3,mb,,104,3.073,0.66,us,us1000gacu,2018-10-17T18:11:45.040Z,"213 km ENE of Levuka, Fiji",earthquake,14.1,14.9,0.103,27,reviewed,us,us
2018-08-09T12:40:59.320Z,-17.9022,-177.7309,561.89,4.3,mb,,158,4.019,1.07,us,us1000g91d,2018-10-17T18:11:45.040Z,"Fiji region",earthquake,16.9,10.3,0.125,18,reviewed,us,us
2018-08-08T22:25:54.490Z,-17.6694,-178.9097,544.79,4.1,mb,,136,2.896,0.82,us,us1000g8wx,2018-10-17T18:11:45.040Z,"193 km ENE of Levuka, Fiji",earthquake,12.4,9.1,0.114,21,reviewed,us,us
2018-08-08T17:41:55.370Z,-20.8904,-178.866,591.04,4.5,mb,,122,4.272,0.66,us,us1000g8w9,2018-10-17T18:11:45.040Z,"Fiji region",earthquake,15.9,15.4,0.11,24,reviewed,us,us
2018-08-08T07:15:43.820Z,-16.0873,-175.7748,359.54,4.3,mb,,154,4.428,0.48,us,us1000g8vn,2018-10-17T18:11:57.040Z,"212 km W of Hihifo, Tonga",earthquake,13,7.2,0.114,22,reviewed,us,us
2018-08-08T01:42:10.390Z,-15.45,-176.6425,361.82,4.9,mb,,46,4.951,0.98,us,us1000g55t,2025-12-22T18:04:29.775Z,"202 km SE of Alo, Wallis and Futuna",earthquake,10.7,5.6,0.029,364,reviewed,us,us
