time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-12T19:32:51.840Z,31.072,103.825,10,4.3,mb,7,171.4,,1.23,us,usp000g6dq,2014-11-07T01:35:59.136Z,"14 km NW of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T19:29:09.130Z,32.453,105.347,11.2,4.4,mb,11,111.8,,0.71,us,usp000g6dp,2014-11-07T01:35:59.135Z,"44 km W of Guangyuan, China",earthquake,,14.1,,1,reviewed,us,us
2008-05-12T19:22:49.590Z,31.236,103.742,7.4,4.6,mb,10,119.4,,0.54,us,usp000g6dm,2014-11-07T01:35:59.132Z,"33 km NW of Tianpeng, China",earthquake,,30.9,,1,reviewed,us,us
2008-05-12T19:14:46.790Z,32.383,105.021,3.7,4.3,mb,14,108.8,,0.54,us,usp000g6dk,2014-11-07T01:35:59.130Z,"74 km NNE of Jiangyou, China",earthquake,,29.6,,1,reviewed,us,us
2008-05-12T19:06:02.910Z,31.517,104.166,35.9,4.1,mb,21,86.7,,0.81,us,usp000g6dh,2014-11-07T01:35:59.127Z,"47 km NNW of Deyang, China",earthquake,,11.5,,3,reviewed,us,us
2008-05-12T19:05:25.630Z,31.616,104.591,10,4.3,mb,6,184.5,,0.24,us,usp000g6dg,2014-11-07T01:35:59.126Z,"18 km NNW of Mianyang, China",earthquake,,,,1,reviewed,us,us
2008-05-12T18:55:20.820Z,32.199,104.82,7.5,4.4,mb,51,69.6,,0.74,us,usp000g6df,2014-11-07T01:35:59.122Z,"48 km NNE of Jiangyou, China",earthquake,,8.3,,20,reviewed,us,us
2008-05-12T18:51:42.460Z,32.339,105.322,3.5,4.4,mb,11,101.3,,0.95,us,usp000g6de,2014-11-07T01:35:59.121Z,"48 km WSW of Guangyuan, China",earthquake,,14.2,,1,reviewed,us,us
2008-05-12T18:46:10.410Z,32.448,105.274,10,4.6,mb,32,130.2,,0.69,us,usp000g6dd,2014-11-07T01:35:59.118Z,"51 km W of Guangyuan, China",earthquake,,,,8,reviewed,us,us
2008-05-12T18:44:11.440Z,31.279,103.793,31.1,4.5,mb,28,83.2,,0.77,us,usp000g6dc,2014-11-07T01:35:59.115Z,"35 km NNW of Tianpeng, China",earthquake,,16.5,,6,reviewed,us,us
2008-05-12T18:43:30.490Z,31.148,103.805,20.2,4,mb,30,69.6,,0.76,us,usp000g6db,2014-11-07T01:35:59.113Z,"22 km NW of Tianpeng, China",earthquake,,15.6,,6,reviewed,us,us
2008-05-12T18:33:14.700Z,32.168,104.797,10,4.3,mb,6,167.1,,0.88,us,usp000g6d9,2014-11-07T01:35:59.109Z,"45 km N of Jiangyou, China",earthquake,,,,1,reviewed,us,us
2008-05-12T18:26:16.920Z,31.36,103.921,7.8,4.7,mb,35,75.6,,0.72,us,usp000g6d7,2014-11-07T01:35:59.105Z,"41 km N of Tianpeng, China",earthquake,,17.5,,7,reviewed,us,us
2008-05-12T18:23:14.350Z,31.179,103.572,27.7,4.5,mb,22,128.9,,0.71,us,usp000g6d6,2014-11-07T01:35:59.103Z,"41 km WNW of Tianpeng, China",earthquake,,22.8,,2,reviewed,us,us
2008-05-12T18:22:28.720Z,31.115,103.693,23,4.6,mb,14,99.6,,0.38,us,usp000g6d5,2014-11-07T01:35:59.102Z,"27 km WNW of Tianpeng, China",earthquake,,18.7,,1,reviewed,us,us
2008-05-12T18:15:53.450Z,31.12,103.654,10,4.3,mb,9,119.8,,0.78,us,usp000g6d3,2014-11-07T01:35:59.099Z,"30 km WNW of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T18:10:15.830Z,32.264,105.039,24.7,4.4,mb,11,113.2,,0.61,us,usp000g6d1,2014-11-07T01:35:59.095Z,"62 km NNE of Jiangyou, China",earthquake,,22.6,,1,reviewed,us,us
2008-05-12T18:09:00.630Z,32.395,105.221,10,4.5,mb,13,149,,0.5,us,usp000g6d0,2014-11-07T01:35:59.094Z,"56 km W of Guangyuan, China",earthquake,,,,1,reviewed,us,us
2008-05-12T17:54:35.910Z,31.178,103.524,34.8,5,mb,94,57,,1.1,us,usp000g6cy,2014-11-07T01:35:59.084Z,"44 km WNW of Tianpeng, China",earthquake,,14.5,,42,reviewed,us,us
2008-05-12T17:52:26.510Z,31.858,104.507,30.8,4.7,mb,81,54.2,,0.91,us,usp000g6cw,2014-11-07T01:35:59.076Z,"22 km WNW of Jiangyou, China",earthquake,,11.6,,37,reviewed,us,us
2008-05-12T17:45:36.080Z,32.39,104.734,35.3,4,mb,14,114.5,,0.82,us,usp000g6cu,2014-11-07T01:35:59.073Z,"69 km N of Jiangyou, China",earthquake,,12.8,,2,reviewed,us,us
2008-05-12T17:43:06.100Z,31.804,104.546,10,4.3,mb,9,129.6,,0.77,us,usp000g6ct,2014-11-07T01:35:59.072Z,"16 km WNW of Jiangyou, China",earthquake,,,,2,reviewed,us,us
2008-05-12T17:39:43.830Z,32.178,104.971,24.3,4.4,mb,31,96.1,,0.65,us,usp000g6cs,2014-11-07T01:35:59.069Z,"51 km NNE of Jiangyou, China",earthquake,,13.6,,6,reviewed,us,us
2008-05-12T17:36:33.750Z,31.621,104.208,11.2,4,mb,18,111.8,,0.6,us,usp000g6cq,2014-11-07T01:35:59.065Z,"48 km WNW of Mianyang, China",earthquake,,23,,2,reviewed,us,us
2008-05-12T17:29:09.380Z,31.243,103.611,34.6,4.7,mb,51,65.1,,0.77,us,usp000g6cp,2014-11-07T01:35:59.059Z,"42 km NW of Tianpeng, China",earthquake,,12.2,,18,reviewed,us,us
2008-05-12T17:24:28.180Z,31.439,104.018,10,4.6,mb,16,118,,0.85,us,usp000g6cn,2014-11-07T01:35:59.057Z,"48 km NW of Deyang, China",earthquake,,,,1,reviewed,us,us
2008-05-12T17:21:49.630Z,31.758,104.387,10,4.3,mb,27,90.2,,0.82,us,usp000g6ck,2014-11-07T01:35:59.000Z,"31 km W of Jiangyou, China",earthquake,,,,4,reviewed,us,us
2008-05-12T17:20:53.960Z,31.488,104.171,10,4.4,mb,6,129.6,,0.65,us,usp000g6cj,2014-11-07T01:35:58.999Z,"44 km NNW of Deyang, China",earthquake,,,,2,reviewed,us,us
2008-05-12T17:14:30.800Z,31.793,104.381,25.2,4.3,mb,19,129.5,,0.73,us,usp000g6ch,2014-11-07T01:35:58.958Z,"31 km W of Jiangyou, China",earthquake,,23,,2,reviewed,us,us
2008-05-12T17:13:31.420Z,31.569,104.002,10,4.1,mb,8,129.2,,1.05,us,usp000g6cg,2014-11-07T01:35:58.957Z,"60 km NW of Deyang, China",earthquake,,,,1,reviewed,us,us
2008-05-12T17:12:01.710Z,31.265,104.139,10,4.6,mb,10,129.2,,1.17,us,usp000g6cf,2014-11-07T01:35:58.956Z,"27 km WNW of Deyang, China",earthquake,,,,1,reviewed,us,us
2008-05-12T17:08:19.650Z,30.916,103.423,10,4.1,mb,9,128.7,,1.15,us,usp000g6ce,2014-11-07T01:35:58.955Z,"49 km W of Tianpeng, China",earthquake,,,,1,reviewed,us,us
